"release_year","genre","region","sales"
1986,"Action","North America",6.52
1986,"Platform","North America",1.07
1986,"Racing","North America",1.13
1986,"Role-Playing","North America",0.49
1986,"Shooter","North America",0.94
1986,"Sports","North America",2.35
1986,"Action","European Union",1.66
1986,"Platform","European Union",0.18
1986,"Racing","European Union",0.37
1986,"Role-Playing","European Union",0.00
1986,"Shooter","European Union",0.16
1986,"Sports","European Union",0.47
1986,"Action","Japan",5.31
1986,"Platform","Japan",8.11
1986,"Racing","Japan",0.41
1986,"Role-Playing","Japan",0.52
1986,"Shooter","Japan",2.77
1986,"Sports","Japan",2.69
1986,"Action","Other",0.25
1986,"Platform","Other",0.03
1986,"Racing","Other",0.05
1986,"Role-Playing","Other",1.51
1986,"Shooter","Other",0.02
1986,"Sports","Other",0.07
1986,"Action","Worldwide",13.74
1986,"Platform","Worldwide",9.39
1986,"Racing","Worldwide",1.96
1986,"Role-Playing","Worldwide",2.52
1986,"Shooter","Worldwide",3.89
1986,"Sports","Worldwide",5.57
